# Start Aug 13 2023 23:18:51 UTC 6mi S of Arnett, OK
# Rabbit1,1
# https://sswa.tv/wxlogs
[f,da,db,dc,ga,go,t,h,p],
[914.6,23,27,9,3602.5571,9945.3691,21.51,88.46,93263.39],
[914.6,23,27,11,3602.5571,9945.3691,21.51,88.47,93255.24],
[914.6,23,27,13,3602.5571,9945.3691,21.53,88.39,93248.45],
[914.6,23,27,15,3602.5571,9945.3691,21.54,88.25,93269.12],
[914.6,23,27,17,3602.5571,9945.3691,21.55,88.43,93258.93],
[914.6,23,27,19,3602.5571,9945.3691,21.56,88.57,93279.59],
[914.6,23,27,21,3602.5571,9945.3691,21.55,88.32,93253.82],
[914.6,23,27,23,3602.5571,9945.3691,21.56,88.56,93229.06],
[914.6,23,27,25,3602.5571,9945.3691,21.56,88.74,93261.92],
[914.6,23,27,27,3602.5571,9945.3691,21.56,88.73,93270.39],
[914.6,23,27,29,3602.5571,9945.3691,21.54,89.00,93256.48],
[914.6,23,27,31,3602.5571,9945.3691,21.56,89.11,93280.53],
[914.6,23,27,33,3602.5571,9945.3691,21.56,89.30,93261.18],
[914.6,23,27,35,3602.5571,9945.3691,21.58,89.45,93252.34],
[914.6,23,27,37,3602.5571,9945.3691,21.59,89.69,93251.32],
[914.6,23,27,39,3602.5571,9945.3691,21.59,90.03,93257.42],
[914.6,23,27,41,3602.5571,9945.3691,21.61,90.21,93274.68],
[914.6,23,27,43,3602.5571,9945.3691,21.62,90.49,93265.51],
[914.6,23,27,45,3602.5571,9945.3691,21.63,90.86,93260.07],
[914.6,23,27,47,3602.5571,9945.3691,21.62,91.08,93269.89],
[914.6,23,27,49,3602.5571,9945.3691,21.62,91.42,93277.00],
[914.6,23,27,51,3602.5571,9945.3691,21.61,91.51,93285.79],
[914.6,23,27,53,3602.5571,9945.3691,21.62,91.76,93265.79],
[914.6,23,27,55,3602.5571,9945.3691,21.61,91.97,93276.96],
[914.6,23,27,57,3602.5571,9945.3691,21.62,91.72,93274.91],
[914.6,23,27,59,3602.5571,9945.3691,21.63,91.60,93264.72],
[914.6,23,28,1,3602.5571,9945.3691,21.63,91.50,93255.56],
[914.6,23,28,3,3602.5571,9945.3691,21.65,91.54,93264.35],
[914.6,23,28,5,3602.5571,9945.3691,21.65,91.76,93268.07],
[914.6,23,28,7,3602.5569,9945.3691,21.66,91.56,93283.65],
[914.6,23,28,9,3602.5569,9945.3691,21.66,91.48,93275.51],
[914.6,23,28,11,3602.5569,9945.3691,21.64,91.52,93273.47],
[914.6,23,28,13,3602.5569,9945.3691,21.65,91.43,93263.28],
[914.6,23,28,15,3602.5569,go,21.66,91.56,93263.61],
[914.6,23,28,17,3602.5569,9945.3691,21.63,91.07,93268.67],
[914.6,23,28,19,3602.5569,9945.3691,21.63,90.49,93266.30],
[914.6,23,28,21,3602.5569,9945.3691,21.64,90.23,93224.27],
[914.6,23,28,23,3602.5569,9945.3691,21.62,89.93,93220.87],
[914.6,23,28,25,3602.5569,9945.3691,21.60,89.91,93252.02],
[914.6,23,28,27,3602.5569,9945.3691,21.59,89.23,93251.00],
[914.6,23,28,29,3602.5569,9945.3691,21.62,89.34,93249.98],
[914.6,23,28,31,3602.5569,9945.3691,t,89.42,93270.62],
[914.6,23,28,33,3602.5569,9945.3691,21.56,89.33,93268.25],
[914.6,23,28,35,3602.5569,9945.3691,21.57,89.40,93254.35],
[914.6,23,28,37,3602.5569,9945.3691,21.53,89.44,93249.93],
[914.6,23,28,39,3602.5569,9945.3691,21.52,89.39,93279.73],
[914.6,23,28,41,3602.5569,9945.3691,21.56,89.39,93265.83],
[914.6,23,28,43,3602.5569,9945.3691,21.59,89.14,93298.00],
[914.6,23,28,45,3602.5569,9945.3691,21.62,88.80,93246.16],
[914.6,23,28,47,3602.5569,9945.3691,21.68,88.34,93263.40],
[914.6,23,28,dc,3602.5569,9945.3691,21.71,88.06,93309.80],
[914.6,23,28,51,3602.5569,9945.3691,21.72,88.01,93237.65],
[914.6,23,28,53,3602.5569,9945.3691,21.78,87.88,93241.69],
[914.6,23,28,55,3602.5569,9945.3691,21.78,88.21,93287.76],
[914.6,23,28,57,3602.5569,9945.3691,21.80,88.21,93240.99],
[914.6,23,28,59,3602.5569,9945.3691,21.82,88.32,93286.36],
[914.6,23,29,1,3602.5569,9945.3691,21.84,88.30,93288.73],
[914.6,23,29,3,3602.5569,9945.3691,21.82,88.35,93305.97],
[914.6,23,29,5,3602.5569,9945.3691,21.91,87.73,93278.87],
[914.6,23,29,7,3602.5569,9945.3691,21.92,87.51,93292.39],
[914.6,23,29,9,3602.5569,9945.3691,21.94,87.16,93296.11],
